BIRTH_YEAR,COUNTY_ORIGIN,BIRTH_MONTH,CALF_BREED_TYPE,TOTAL_BIRTH
2016,CARLOW,APR,BEEF,3670
2016,CARLOW,APR,DAIRY,680
2016,CARLOW,AUG,BEEF,778
2016,CARLOW,AUG,DAIRY,80
2016,CARLOW,DEC,BEEF,835
2016,CARLOW,DEC,DAIRY,123
2016,CARLOW,FEB,BEEF,2858
2016,CARLOW,FEB,DAIRY,3559
2016,CARLOW,JAN,BEEF,1399
2016,CARLOW,JAN,DAIRY,1124
2016,CARLOW,JUL,BEEF,851
2016,CARLOW,JUL,DAIRY,103
2016,CARLOW,JUN,BEEF,1183
2016,CARLOW,JUN,DAIRY,169
2016,CARLOW,MAR,BEEF,4591
2016,CARLOW,MAR,DAIRY,1392
2016,CARLOW,MAY,BEEF,2138
2016,CARLOW,MAY,DAIRY,319
2016,CARLOW,NOV,BEEF,829
2016,CARLOW,NOV,DAIRY,247
2016,CARLOW,OCT,BEEF,882
2016,CARLOW,OCT,DAIRY,372
2016,CARLOW,SEP,BEEF,886
2016,CARLOW,SEP,DAIRY,373
2016,CAVAN,APR,BEEF,12323
2016,CAVAN,APR,DAIRY,1963
2016,CAVAN,AUG,BEEF,2189
2016,CAVAN,AUG,DAIRY,331
2016,CAVAN,DEC,BEEF,1679
2016,CAVAN,DEC,DAIRY,714
2016,CAVAN,FEB,BEEF,6174
2016,CAVAN,FEB,DAIRY,5999
2016,CAVAN,JAN,BEEF,3638
2016,CAVAN,JAN,DAIRY,2459
2016,CAVAN,JUL,BEEF,3108
2016,CAVAN,JUL,DAIRY,296
2016,CAVAN,JUN,BEEF,4777
2016,CAVAN,JUN,DAIRY,544
2016,CAVAN,MAR,BEEF,11655
2016,CAVAN,MAR,DAIRY,4002
2016,CAVAN,MAY,BEEF,9474
2016,CAVAN,MAY,DAIRY,1106
2016,CAVAN,NOV,BEEF,1872
2016,CAVAN,NOV,DAIRY,831
2016,CAVAN,OCT,BEEF,1875
2016,CAVAN,OCT,DAIRY,725
2016,CAVAN,SEP,BEEF,1957
2016,CAVAN,SEP,DAIRY,527
2016,CLARE,APR,BEEF,17629
2016,CLARE,APR,DAIRY,1344
2016,CLARE,AUG,BEEF,3340
2016,CLARE,AUG,DAIRY,57
2016,CLARE,DEC,BEEF,2247
2016,CLARE,DEC,DAIRY,99
2016,CLARE,FEB,BEEF,11241
2016,CLARE,FEB,DAIRY,8164
2016,CLARE,JAN,BEEF,5036
2016,CLARE,JAN,DAIRY,1406
2016,CLARE,JUL,BEEF,3582
2016,CLARE,JUL,DAIRY,85
2016,CLARE,JUN,BEEF,4977
2016,CLARE,JUN,DAIRY,189
2016,CLARE,MAR,BEEF,18542
2016,CLARE,MAR,DAIRY,4093
2016,CLARE,MAY,BEEF,10714
2016,CLARE,MAY,DAIRY,502
2016,CLARE,NOV,BEEF,1977
2016,CLARE,NOV,DAIRY,127
2016,CLARE,OCT,BEEF,2419
2016,CLARE,OCT,DAIRY,80
2016,CLARE,SEP,BEEF,2776
2016,CLARE,SEP,DAIRY,89
2016,CORK,APR,BEEF,35669
2016,CORK,APR,DAIRY,12320
2016,CORK,AUG,BEEF,5058
2016,CORK,AUG,DAIRY,1249
2016,CORK,DEC,BEEF,4094
2016,CORK,DEC,DAIRY,2449
2016,CORK,FEB,BEEF,42406
2016,CORK,FEB,DAIRY,95720
2016,CORK,JAN,BEEF,14679
2016,CORK,JAN,DAIRY,45592
2016,CORK,JUL,BEEF,5584
2016,CORK,JUL,DAIRY,1058
2016,CORK,JUN,BEEF,8890
2016,CORK,JUN,DAIRY,1901
2016,CORK,MAR,BEEF,51669
2016,CORK,MAR,DAIRY,33780
2016,CORK,MAY,BEEF,18602
2016,CORK,MAY,DAIRY,4983
2016,CORK,NOV,BEEF,4141
2016,CORK,NOV,DAIRY,3834
2016,CORK,OCT,BEEF,4506
2016,CORK,OCT,DAIRY,4243
2016,CORK,SEP,BEEF,5335
2016,CORK,SEP,DAIRY,2744
2016,DONEGAL,APR,BEEF,9212
2016,DONEGAL,APR,DAIRY,1277
2016,DONEGAL,AUG,BEEF,1421
2016,DONEGAL,AUG,DAIRY,130
2016,DONEGAL,DEC,BEEF,1891
2016,DONEGAL,DEC,DAIRY,356
2016,DONEGAL,FEB,BEEF,3920
2016,DONEGAL,FEB,DAIRY,3854
2016,DONEGAL,JAN,BEEF,3177
2016,DONEGAL,JAN,DAIRY,778
2016,DONEGAL,JUL,BEEF,1988
2016,DONEGAL,JUL,DAIRY,87
2016,DONEGAL,JUN,BEEF,3548
2016,DONEGAL,JUN,DAIRY,202
2016,DONEGAL,MAR,BEEF,7592
2016,DONEGAL,MAR,DAIRY,3652
2016,DONEGAL,MAY,BEEF,7450
2016,DONEGAL,MAY,DAIRY,580
2016,DONEGAL,NOV,BEEF,1917
2016,DONEGAL,NOV,DAIRY,381
2016,DONEGAL,OCT,BEEF,1705
2016,DONEGAL,OCT,DAIRY,340
2016,DONEGAL,SEP,BEEF,1596
2016,DONEGAL,SEP,DAIRY,184
2016,DUBLIN,APR,BEEF,832
2016,DUBLIN,APR,DAIRY,131
